"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100uF, 6.3V","","","","Capacitor_SMD:C_1206_3216Metric",""
"C2,C3","2","100nF","","","","Capacitors_SMD:C_0805",""
"C4","1","4u7, 250V","","","","Capacitor_SMD:C_Elec_8x10.2",""
"C6","1","100nF, 250V","","","","Capacitor_SMD:C_1812_4532Metric_Pad1.30x3.40mm_HandSolder",""
"D1","1","ES2F","","","","GaudiLabsFootPrints:DO-214AA",""
"L1","1","100uH","","","","J_Lib:CDRH125101MC",""
"R1","1","ak","","","","Resistors_SMD:R_0805",""
"R2","1","1M5","","","","Resistors_SMD:R_2512",""
"R3,R4,R5,R6,R8,R9,R10,R11","8","22M","","","","Resistors_SMD:R_2512",""
"R7","1","6.8k","","","","Resistor_SMD:R_0805_2012Metric",""
"R12,R13,R15,R16,R17,R18,R19,R20","8","200","","","","Resistors_SMD:R_2512",""
"R14","1","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"RSENSE1","1","0R1","","","","Resistors_SMD:R_2010",""
"RV1","1","R_Potentiometer","","","","","~"
"SW5","1","SPST","","","","GaudiLabsFootPrints:Switch_On-On",""
"T1","1","TK560P60Y","","","","GaudiLabsFootPrints:D-Pak_TO252AA",""
"To_Microcontroller?","1","Conn_01x07","","","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~"
"U1","1","MAX1771ESA","","","","J_Lib:PowerIntegrations_PDIP-8",""
"U2","1","HV513","","","","Package_SO:SO-24_5.3x15mm_P1.27mm",""
"U3","1","Electrode 1","","","","J_Lib:Electrode",""
"U4","1","Electrode 2","","","","J_Lib:Electrode",""
"U5","1","Electrode 3","","","","J_Lib:Electrode",""
"U6","1","Electrode 4","","","","J_Lib:Electrode",""
"U7","1","Electrode 5","","","","J_Lib:Electrode",""
"U8","1","Electrode 6","","","","J_Lib:Electrode",""
"U9","1","Electrode 7","","","","J_Lib:Electrode",""
"U10","1","Electrode 8","","","","J_Lib:Electrode",""
