Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CP_Elec_6.3x5.4_Nichicon,136.893594,-69.043299,180,top
C2,100nF,C_0805_2012Metric,142.282974,-96.331237,-90,top
C3,100nF,C_0805_2012Metric,155.320066,-100.259426,90,top
C4,"4u7, 250V",CP_Elec_10x10.5,163.25,-78.75,90,top
C5,10uF,C_1206_3216Metric,139.961947,-96.926848,-90,top
C6,"100nF, 250V",C_1812_4532Metric,168.8,-87.5,0,top
D1,ES2F,DIOM5436X244N,151.186516,-83.138934,180,top
L1,100uH,CDRH125101MC,149.145314,-73.061719,0,top
R1,8k,R_0805_2012Metric,146.9125,-103,0,top
R2,1M6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,159,-103,180,top
R3,22M,R_1206_3216Metric,176.782354,-96.567099,90,top
R4,22M,R_1206_3216Metric,172.785849,-101.305301,-90,top
R5,10k,R_0805_2012Metric,168.803655,-123.264754,180,top
R8,22M,R_1206_3216Metric,175.875774,-102.751037,90,top
R11,22M,R_1206_3216Metric,177.242801,-107.910125,-90,top
RSENSE1,0R100,R_2010_5025Metric,156.25,-92.5625,-90,top
T1,TK560P60Y,TO-220-3_Vertical,146.21,-89.07,0,top
U1,MAX1771ESA,PowerIntegrations_PDIP-8,144.925,-92.7,0,top
U2,HV513,SOP-24_7.5x15.4mm_P1.27mm,167.276863,-114.697197,90,top
U26,MCP41050,SOIC-8_3.9x4.9mm_P1.27mm,148.384684,-107.683184,180,top
